cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
RACE-DT,court_circuit_mix,5th Circuit,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,6th Circuit,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,7th Circuit,P2,2,10,0.200000,0.000000,0.500000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,9th Circuit,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,D.C. Circuit,P2,2,10,0.200000,0.000000,0.500000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,10th Circuit,P3,0,19,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,11th Circuit,P3,5,19,0.263158,0.052632,0.473684,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,1st Circuit,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,2nd Circuit,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,3rd Circuit,P3,0,19,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,4th Circuit,P3,2,19,0.105263,0.000000,0.263158,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,5th Circuit,P3,4,19,0.210526,0.052632,0.421053,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,6th Circuit,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,7th Circuit,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,9th Circuit,P3,3,19,0.157895,0.000000,0.315789,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,court_circuit_mix,D.C. Circuit,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,DEVELOPER,P1,0,42,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,GOVERNMENT,P1,3,42,0.071429,0.000000,0.166667,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,HOA_CONDO_ASSN,P1,5,42,0.119048,0.023810,0.214286,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,HOUSING_AUTHORITY,P1,2,42,0.047619,0.000000,0.119048,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,MUNICIPALITY,P1,8,42,0.190476,0.071429,0.309524,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,OTHER,P1,10,42,0.238095,0.119048,0.380952,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,PRIVATE_LANDLORD,P1,9,42,0.214286,0.095238,0.333333,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,PROPERTY_MANAGEMENT,P1,5,42,0.119048,0.023810,0.214286,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,DEVELOPER,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
